﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-11;19:00:00;0.00;G;0;G;;
2015-01-11;20:00:00;0.00;G;0;G;;
2015-01-11;21:00:00;0.00;G;0;G;;
2015-01-11;22:00:00;0.00;G;0;G;;
2015-01-11;23:00:00;0.00;G;0;G;;
2015-01-12;00:00:00;0.00;G;0;G;;
2015-01-12;01:00:00;0.00;G;0;G;;
2015-01-12;02:00:00;0.00;G;0;G;;
2015-01-12;03:00:00;0.00;G;0;G;;
2015-01-12;04:00:00;0.00;G;0;G;;
2015-01-12;05:00:00;0.00;G;0;G;;
2015-01-12;06:00:00;0.00;G;0;G;;
2015-01-12;07:00:00;0.00;G;0;G;;
2015-01-12;08:00:00;2.15;G;0;G;;
2015-01-12;09:00:00;12.84;G;0;G;;
2015-01-12;10:00:00;17.88;G;0;G;;
2015-01-12;11:00:00;25.60;G;0;G;;
2015-01-12;12:00:00;20.15;G;0;G;;
2015-01-12;13:00:00;12.75;G;0;G;;
2015-01-12;14:00:00;9.29;G;0;G;;
2015-01-12;15:00:00;2.36;G;0;G;;
2015-01-12;16:00:00;0.00;G;0;G;;
2015-01-12;17:00:00;0.00;G;0;G;;
2015-01-12;18:00:00;0.00;G;0;G;;
2015-01-12;19:00:00;0.00;G;0;G;;
2015-01-12;20:00:00;0.00;G;0;G;;
2015-01-12;21:00:00;0.00;G;0;G;;
2015-01-12;22:00:00;0.00;G;0;G;;
2015-01-12;23:00:00;0.00;G;0;G;;
2015-01-13;00:00:00;0.00;G;0;G;;
2015-01-13;01:00:00;0.00;G;0;G;;
